No.,カテゴリ,スポット名,住所,緯度,経度
29,⑥ 郷土料理（体験・レストラン）,山梨の馬刺し（甲府市内各店）,山梨県甲府市,35.6655177,138.5682512
30,⑦ 温泉,石和温泉,山梨県笛吹市石和町,35.6508195,138.6374029
31,⑦ 温泉,ほったらかし温泉,山梨県山梨市矢坪1669-18,35.7067085,138.6518668
32,⑦ 温泉,富士山ビュー温泉,山梨県南都留郡富士河口湖町船津4245,35.4835078,138.7795694
33,⑦ 温泉,増富温泉郷,山梨県北杜市須玉町小尾,35.8655819,138.5351833
34,⑦ 温泉,下部温泉,山梨県南巨摩郡身延町下部,35.4223147,138.4816715
35,⑧ トレッキング,富士山登山（吉田ルート）,山梨県富士吉田市,35.36074,138.7270567
36,⑧ トレッキング,西沢渓谷ハイキングコース,山梨県山梨市三富川浦,35.8703064,138.7427631
37,⑧ トレッキング,昇仙峡の遊歩道,山梨県甲府市高成町,35.7392171,138.5642494
38,⑧ トレッキング,八ヶ岳縦走コース,山梨県北杜市高根町清里,35.9429455,138.3481628
39,⑧ トレッキング,甘利山ハイキング,山梨県韮崎市円野町,35.681597,138.376225
40,⑨ 遊園地,富士急ハイランド,山梨県富士吉田市新西原5丁目6-1,35.4869342,138.7805708
41,⑨ 遊園地,リニア見学センター（ミニ体験型アトラクション付き）,山梨県都留市小形山2381,35.5833779,138.9257209
42,⑨ 遊園地,富士すばるランド,山梨県南都留郡富士河口湖町船津6663-1,35.4577765,138.7600351
43,⑨ 遊園地,清里テラス,山梨県北杜市高根町清里3545,35.950416,138.4018857
44,⑩ その他の観光施設,山梨県立美術館,山梨県甲府市貢川1丁目4-27,35.6607448,138.5376159
45,⑩ その他の観光施設,忍野八海,山梨県南都留郡忍野村忍草,35.4601223,138.8324691
46,⑩ その他の観光施設,富士山世界遺産センター,山梨県南都留郡富士河口湖町船津6663-1,35.4858224,138.7708143
47,⑩ その他の観光施設,ハイジの村,山梨県北杜市明野町浅尾5259-950,35.7800882,138.464373
48,⑩ その他の観光施設,清里フォトアートミュージアム,山梨県北杜市高根町清里3545,35.8830606,138.432098
49,インスタ映え,大石公園,山梨県南都留郡富士河口湖町大石2585,35.5228809,138.7457307
50,インスタ映え,山中湖花の都公園,山梨県南都留郡山中湖村山中1650,35.4392831,138.8512718
51,インスタ映え,鳴沢氷穴,山梨県南都留郡鳴沢村8533,35.4749138,138.6670359
52,インスタ映え,ほんちょう2丁目商店街,山梨県富士吉田市本町2丁目,35.4945475,138.8043392
53,インスタ映え,リサとガスパールタウン,山梨県富士吉田市新西原5丁目6-1,35.4851588,138.7788397
54,インスタ映え,長池親水公園,山梨県南都留郡山中湖村平野3222,35.4269605,138.871094
55,インスタ映え,西湖いやしの里根場,山梨県南都留郡富士河口湖町西湖根場2710,35.5050309,138.6614994
56,インスタ映え,新道峠 FUJIYAMAツインテラス,山梨県笛吹市芦川町上芦川,35.5465084,138.7313675
57,インスタ映え,笛吹川フルーツ公園,山梨県山梨市江曽原1488,35.7016359,138.6645912
58,インスタ映え,東沢大橋展望台,山梨県北杜市高根町清里3545-4559,35.9320715,138.4137732
59,インスタ映え,中野の棚田,山梨県南アルプス市中野,35.6026474,138.4296582
60,インスタ映え,平岡の棚田,山梨県南アルプス市平岡,35.6066769,138.4499142
61,ハッシュタグ,新道峠,山梨県笛吹市芦川町上芦川,35.5472918,138.7345897
62,ハッシュタグ,金櫻神社,山梨県甲府市御岳町2347,35.7696556,138.5558379
63,ハッシュタグ,金峰山,山梨県甲府市（山頂は長野県との県境）,35.8714004,138.6253311
64,ハッシュタグ,敷島総合公園,山梨県甲斐市島上条1020,35.7014269,138.518795
65,ハッシュタグ,富士ヒルクライム（富士山スバルライン）,山梨県南都留郡富士河口湖町船津,35.4153459,138.7158014
66,ハッシュタグ,星のや富士,山梨県南都留郡富士河口湖町大石1408,35.5255226,138.7450218
67,ハッシュタグ,リゾナーレ八ヶ岳,山梨県北杜市小淵沢町129-1,35.8692906,138.3271868
68,ハッシュタグ,小作双葉バイパス店,山梨県甲斐市富竹新田1650-1,35.6751989,138.4980166
69,ハッシュタグ,河口湖ステラシアター,山梨県南都留郡富士河口湖町船津5577,35.4802358,138.7593992
70,ハッシュタグ,河口湖もみじ回廊,山梨県南都留郡富士河口湖町小立,35.5257403,138.7623175
71,ハッシュタグ,布袋屋本店,山梨県甲府市中央1丁目4-4,35.6673694,138.5181163
72,ハッシュタグ,笹一酒造,山梨県大月市笹子町吉久保26,35.6041384,138.8306488
73,ハッシュタグ,桔梗屋（桔梗信玄餅工場テーマパーク）,山梨県笛吹市一宮町坪井1928,35.6476984,138.6639046
74,ハッシュタグ,ふじさん冷蔵,山梨県南都留郡富士河口湖町船津6663-1,35.5232828,138.7697632
75,ハッシュタグ,ファーイーストブリューイング,山梨県南都留郡富士河口湖町船津6663-1,35.7597821,138.9447083
76,ハッシュタグ,サドヤワイン,山梨県甲府市北口3丁目3-24,35.6674454,138.5739008
77,特産品,穂積の柚子（ほずみの郷加工直売所）,南巨摩郡富士川町小室3296,35.54437284,138.4343104
78,特産品,大塚にんじん（のっぷい農産物直売所）,山梨県西八代郡市川三郷町大塚２６０８ みたまの湯敷地内,35.56652904,138.5342126
79,特産品,あけぼの大豆（あけぼの大豆拠点施設）,山梨県南巨摩郡身延町伊沼２５０,35.44502825,138.4393156
80,特産品,浅尾大根（浅尾ダイコン祭り会場）,北杜市明野町浅尾5379,35.7851043,138.4602977
